Symbol,Name,Sector,industry,Exchange
ABIO,"ARCA biopharma, Inc.",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NASDAQ
ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services,NYSE
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,NYSE
ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals,NYSE
ABTX,"Allegiance Bancshares, Inc.",Finance,Major Banks,NASDAQ
ABUS,Arbutus Biopharma Corporation,Health Care,Major Pharmaceuticals,NASDAQ
AC,"Associated Capital Group, Inc.",Finance,Investment Bankers/Brokers/Service,NYSE
ACA,"Arcosa, Inc.",Capital Goods,Industrial Machinery/Components,NYSE
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ACAM,Acamar Partners Acquisition Corp.,Finance,Business Services,NASDAQ
ACAMU,Acamar Partners Acquisition Corp.,Finance,Business Services,NASDAQ
ACAMW,Acamar Partners Acquisition Corp.,Finance,Business Services,NASDAQ
ACB,Aurora Cannabis Inc.,Consumer Durables,Specialty Chemicals,NYSE
ACBI,"Atlantic Capital Bancshares, Inc.",Finance,Major Banks,NASDAQ
ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts,NYSE
ACCO,Acco Brands Corporation,Consumer Durables,Publishing,NYSE
ACER,Acer Therapeutics Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers,NASDAQ
ACGLO,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers,NASDAQ
ACGLP,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers,NASDAQ
ACH,Aluminum Corporation of China Limited,Basic Industries,Aluminum,NYSE
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities,NASDAQ
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ACHV,"Achieve Life Sciences, Inc. ",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NASDAQ
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors,NASDAQ
ACIU,AC Immune SA,Health Care,Major Pharmaceuticals,NASDAQ
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
ACLS,"Axcelis Technologies, Inc.",Technology,Industrial Machinery/Components,NASDAQ
ACM,AECOM,Consumer Services,Military/Government/Technical,NYSE
ACMR,"ACM Research, Inc.",Technology,Industrial Machinery/Components,NASDAQ
ACN,Accenture plc,Miscellaneous,Business Services,NYSE
ACNB,ACNB Corporation,Finance,Major Banks,NASDAQ
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts,NYSE
ACRS,"Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,NASDAQ
ACTT,Act II Global Acquisition Corp.,Finance,Business Services,NASDAQ
ACTTU,Act II Global Acquisition Corp.,Finance,Business Services,NASDAQ
ACTTW,Act II Global Acquisition Corp.,Finance,Business Services,NASDAQ
ACU,Acme United Corporation.,Capital Goods,Industrial Machinery/Components,AMEX
ACY,AeroCentury Corp.,Technology,Diversified Commercial Services,AMEX
ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ADBE,Adobe Inc.,Technology,Computer Software: Prepackaged Software,NASDAQ
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts,NYSE
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals,NASDAQ
ADI,"Analog Devices, Inc.",Technology,Semiconductors,NASDAQ
ADIL,"Adial Pharmaceuticals, Inc",Health Care,Major Pharmaceuticals,NASDAQ
ADILW,"Adial Pharmaceuticals, Inc",Health Care,Major Pharmaceuticals,NASDAQ
ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,Packaged Foods,NYSE
ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals,NASDAQ
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ADNT,Adient plc,Capital Goods,Auto Parts:O.E.M.,NYSE
ADOM,"ADOMANI, Inc.",Capital Goods,Auto Parts:O.E.M.,NASDAQ
ADP,"Automatic Data Processing, Inc.",Technology,EDP Services,NASDAQ
ADRO,"Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services,NYSE
ADSK,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
ADSW,"Advanced Disposal Services, Inc.",Public Utilities,Environmental Services,NYSE
ADT,ADT Inc.,Consumer Services,Diversified Commercial Services,NYSE
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment,NASDAQ
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,NASDAQ
ADVM,"Adverum Biotechnologies, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ADYX,"Adynxx, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
AE,"Adams Resources & Energy, Inc.",Energy,Oil Refining/Marketing,AMEX
AEB,Aegon NV,Finance,Life Insurance,NYSE
AEE,Ameren Corporation,Public Utilities,Power Generation,NYSE
AEG,Aegon NV,Finance,Life Insurance,NYSE
AEGN,Aegion Corp,Basic Industries,Water Supply,NASDAQ
AEH,Aegon NV,Finance,Life Insurance,NYSE
AEHR,Aehr Test Systems,Capital Goods,Electrical Products,NASDAQ
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ
AEL,American Equity Investment Life Holding Company,Finance,Life Insurance,NYSE
AEM,Agnico Eagle Mines Limited,Basic Industries,Precious Metals,NYSE
